GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,StringDelimiter,0,301,0,8,0,36,0,12,0,8
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,FieldDirection,3,34,0,0,1,6,1,2,1,2
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,AtlasModuleMode,31,45,4,0,5,5,4,2,2,2
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,AtlasPropertyType,44,87,0,4,3,12,2,6,2,4
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,AtlasCombineStrategy,0,4,0,0,0,1,0,1,0,1
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,AtlasConversionConcern,31,115,4,0,5,13,4,3,2,3
Unit Test Coverage Report/atlas-api,io.atlasmap.spi,AtlasSeparateStrategy,0,4,0,0,0,1,0,1,0,1
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasException,0,16,0,0,0,8,0,4,0,4
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasConversionException,0,16,0,0,0,8,0,4,0,4
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasNotFoundException,16,0,0,0,8,0,4,0,4,0
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasUnsupportedException,12,4,0,0,6,2,3,1,3,1
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasContextFactory.Format,0,24,0,0,0,1,0,1,0,1
Unit Test Coverage Report/atlas-api,io.atlasmap.api,AtlasValidationException,16,0,0,0,8,0,4,0,4,0
Unit Test Coverage Report/atlas-core,io.atlasmap.builder,AtlasField,94,227,11,7,11,58,10,8,1,8
Unit Test Coverage Report/atlas-core,io.atlasmap.builder,DefaultAtlasMappingBuilder,35,41,3,1,8,8,4,6,2,6
Unit Test Coverage Report/atlas-core,io.atlasmap.core,DefaultAtlasSession,0,596,2,82,0,132,2,83,0,43
Unit Test Coverage Report/atlas-core,io.atlasmap.core,DefaultAtlasSeparateStrategy,0,78,0,8,0,19,0,13,0,9
